2,183861
7,334397
8,1083
9,2473842
11,1279504
12,798653
13,209038
14,182061
20,15930
21,591464
23,497643
24,209329
25,820919
26,89576
30,702294
31,176462
33,592779
34,76273
37,428187
38,1613211
39,2391563
40,3220498
44,91549
46,334032
47,2142605
48,143994
49,333313
52,182091
54,261600
57,97549
69,405181
75,45341
77,137029
78,29268
80,300208
84,155095
87,205733
89,846157
90,304819
91,761063
92,589885
98,262046
101,822538
102,101233
110,2179929
111,432926
112,511387
114,68598
117,2835492
119,24074
121,89144
122,327870
123,5533047
124,1882062
125,146497
126,1155907
129,2943840
130,269360
135,344264
137,2666240
139,1642301
149,34819
168,829124
170,670798
172,364274
175,25049
188,73682
196,63689
201,1116758
205,57211
207,34649
214,84008
233,82565
237,66600
239,91578
258,55397
259,194069
276,52638
277,37735
278,36049
279,342995
287,1361843
288,524742
290,3165709
294,1430924
295,1445202
296,2453727
297,1657271
298,2272102
300,1102428
302,1807910
303,981799
304,738639
306,137355
311,139742
313,56124
317,191220
318,2166045
319,1301597
320,133657
325,1744609
327,1157395
328,848763
329,867449
331,593704
334,1808980
335,855961
336,2895568
337,1589234
339,906295
341,333464
345,2324001
346,1446373
347,841279
354,117137
355,354252
356,114709
360,33173
361,594890
365,143639
367,91015
372,556134
373,282329
375,89202
378,109902
380,1076876
385,210578
387,522457
388,81359
391,3062815
392,2371465
394,177138
395,414768
398,6934204
404,218402
405,395358
406,1468605
407,368412
409,155082
410,644180
413,167476
416,645459
419,709087
420,10432
423,237566
424,129576
427,940069
433,177376
434,375082
435,245352
441,117048
446,394633
447,86794
449,40587
450,200551
453,132621
454,697884
456,215171
457,125709
459,194892
462,837325
464,740263
465,1767641
466,645844
467,300177
468,98689
469,146269
470,72480
473,157374
474,620904
475,251419
478,423925
481,747745
482,107340
485,579304
488,3830144
492,1121266
493,4536208
495,241562
498,1136564
499,277863
501,39922
503,340077
505,13308
506,622764
507,222919
510,2398543
511,499126
513,248578
514,218229
517,1687474
518,13937
519,4314336
521,402470
524,248594
528,86928
529,4008895
531,1168788
533,1740502
